          Alpha           Beta         Energy       Variance  Mean Distance          Omega Accepted configs (%)
           0.74            0.4      0.0925201    0.000914465        20.3512           0.01       0.633318
           0.74           0.42      0.0926573    0.000932299        20.3212           0.01       0.633309
           0.74           0.44      0.0930398    0.000985409        20.1852           0.01       0.633277
           0.74           0.46      0.0935643     0.00103709        20.0617           0.01       0.633609
           0.74           0.48      0.0932301     0.00103589        20.1862           0.01       0.632724
           0.74            0.5      0.0938006     0.00108989        19.9549           0.01       0.632913
           0.74           0.52       0.094084      0.0011451        19.9517           0.01       0.631988
           0.74           0.54      0.0942085     0.00116494        19.9349           0.01       0.631908
           0.74           0.56       0.094344     0.00119562        19.9165           0.01       0.632037
           0.74           0.58      0.0943575     0.00122029        19.9197           0.01       0.631249
           0.74            0.6      0.0947911     0.00125835        19.8548           0.01       0.631888
           0.74           0.62      0.0946825     0.00125504        19.8443           0.01       0.632279
           0.74           0.64      0.0947128     0.00129881        19.8294           0.01       0.631222
           0.74           0.66      0.0951166     0.00132524        19.7222           0.01       0.631446
           0.74           0.68      0.0952055     0.00134438        19.7163           0.01       0.631082
           0.76            0.2      0.0874159    0.000387193        21.8235           0.01        0.63687
           0.76           0.22      0.0881343    0.000444828        21.5773           0.01       0.636905
           0.76           0.24      0.0889543    0.000511663        21.2598           0.01       0.636472
           0.76           0.26      0.0895765    0.000568586        21.0331           0.01       0.636109
           0.76           0.28      0.0903985    0.000637844        20.7809           0.01       0.635625
           0.76            0.3      0.0910043    0.000693309        20.5395           0.01       0.635208
           0.76           0.32      0.0914788    0.000746911        20.4453           0.01       0.635027
           0.76           0.34      0.0916704    0.000784845        20.4342           0.01       0.634621
           0.76           0.36      0.0922556    0.000844541        20.2416           0.01        0.63384
           0.76           0.38      0.0924638    0.000888713        20.1657           0.01       0.634381
           0.76            0.4      0.0931358    0.000951903        19.9916           0.01       0.633934
           0.76           0.42      0.0934265    0.000988164        19.9464           0.01       0.633034
           0.76           0.44       0.093744     0.00102712        19.8437           0.01       0.633075
           0.76           0.46      0.0938822     0.00106291        19.8096           0.01       0.633107
           0.76           0.48      0.0940047     0.00110089        19.8133           0.01       0.632338
           0.76            0.5      0.0940009     0.00109982         19.818           0.01       0.631327
           0.76           0.52      0.0942608     0.00114744        19.7808           0.01       0.631033
           0.76           0.54       0.094657        0.00121         19.719           0.01       0.631623
           0.76           0.56      0.0948017     0.00121204        19.6342           0.01       0.631611
           0.76           0.58      0.0948462     0.00126483        19.6889           0.01       0.631111
           0.76            0.6      0.0949587     0.00127784        19.6164           0.01       0.631921
           0.76           0.62      0.0952564     0.00131169        19.5311           0.01       0.630904
           0.76           0.64      0.0954731     0.00132457        19.4848           0.01       0.631603
           0.76           0.66      0.0954968     0.00134581        19.4596           0.01       0.631675
           0.76           0.68      0.0957333     0.00140862        19.4735           0.01        0.63031
           0.78            0.2        0.08763    0.000399576        21.6042           0.01       0.637119
           0.78           0.22      0.0885642    0.000465901        21.2121           0.01       0.637247
           0.78           0.24       0.089363    0.000534117         20.969           0.01       0.636317
           0.78           0.26      0.0901918    0.000601715        20.7171           0.01       0.636352
           0.78           0.28      0.0906757    0.000653659        20.5616           0.01       0.635944
           0.78            0.3      0.0910666    0.000699301        20.4375           0.01       0.635803
           0.78           0.32      0.0919267    0.000771481        20.1588           0.01       0.634533
           0.78           0.34      0.0923091    0.000820577        20.0884           0.01       0.634456
           0.78           0.36      0.0926757    0.000881017        20.0165           0.01       0.634071
           0.78           0.38      0.0932833    0.000936056        19.8276           0.01        0.63377
           0.78            0.4      0.0938278     0.00100058        19.6793           0.01       0.634567
           0.78           0.42      0.0938274     0.00102372        19.7153           0.01       0.633189
           0.78           0.44      0.0942902     0.00106805         19.598           0.01       0.633616
           0.78           0.46      0.0942692     0.00108613        19.6295           0.01       0.632268
           0.78           0.48      0.0941988      0.0011068        19.6687           0.01       0.631839
           0.78            0.5      0.0946021     0.00114943         19.542           0.01       0.631774
           0.78           0.52      0.0949794     0.00121395        19.4623           0.01       0.633145
           0.78           0.54      0.0949591     0.00123316        19.5219           0.01       0.631602
           0.78           0.56      0.0951594     0.00127398        19.4507           0.01       0.632008
           0.78           0.58      0.0953669     0.00129563        19.4065           0.01        0.63104
           0.78            0.6      0.0955199      0.0013127        19.3785           0.01       0.631641
           0.78           0.62      0.0957439     0.00134906        19.3032           0.01       0.632257
           0.78           0.64      0.0960693     0.00140614        19.2451           0.01       0.631294
           0.78           0.66      0.0959115     0.00139776        19.2776           0.01       0.630802
           0.78           0.68      0.0960088     0.00141894        19.2825           0.01       0.631578
            0.8            0.2      0.0879347    0.000414481        21.3811           0.01       0.636728
            0.8           0.22      0.0890027    0.000486667        20.9837           0.01       0.636656
            0.8           0.24      0.0896915    0.000547513        20.7398           0.01       0.636665
            0.8           0.26      0.0902137    0.000605144        20.5985           0.01       0.635519
            0.8           0.28      0.0909705    0.000668147        20.3124           0.01       0.635099
            0.8            0.3      0.0915423    0.000727101        20.1794           0.01        0.63438
            0.8           0.32      0.0920764    0.000796997        20.0696           0.01       0.635049
            0.8           0.34      0.0925654    0.000832907        19.8966           0.01       0.634099
            0.8           0.36      0.0932173    0.000913344        19.7579           0.01       0.633857
            0.8           0.38      0.0934713    0.000955773        19.6702           0.01        0.63426
            0.8            0.4      0.0938696    0.000997768        19.5491           0.01       0.634434
            0.8           0.42      0.0942855     0.00105567        19.5047           0.01        0.63287
            0.8           0.44      0.0945804     0.00109771        19.4124           0.01       0.633504
            0.8           0.46      0.0947476     0.00111227        19.3641           0.01        0.63383
            0.8           0.48      0.0950388     0.00117905        19.3466           0.01       0.632789
            0.8            0.5      0.0954081     0.00120104        19.2092           0.01       0.632188
            0.8           0.52       0.095388     0.00124823        19.2542           0.01        0.63286
            0.8           0.54      0.0959169     0.00128739          19.13           0.01       0.631826
            0.8           0.56      0.0959078     0.00131382         19.145           0.01       0.632152
            0.8           0.58      0.0960205      0.0013464        19.1446           0.01       0.631552
            0.8            0.6      0.0963102      0.0013851        19.0584           0.01       0.631522
