          Alpha           Beta         Energy       Variance  Mean Distance          Omega
           0.74            0.3        3.94719       0.313262        2.19025              1
           0.74           0.32        3.93722       0.299196        2.16933              1
           0.74           0.34        3.93168       0.291776        2.15771              1
           0.74           0.36        3.92755       0.286634        2.14741              1
           0.74           0.38        3.92195       0.282077        2.14016              1
           0.74            0.4        3.92239       0.273295        2.13034              1
           0.74           0.42        3.91164       0.266413        2.12494              1
           0.74           0.44        3.91858       0.271303        2.12129              1
           0.74           0.46        3.91008       0.262567        2.10985              1
           0.74           0.48        3.90378       0.253004        2.10759              1
           0.74            0.5        3.90722       0.257161        2.10178              1
           0.74           0.52        3.90363       0.255877         2.0923              1
           0.74           0.54        3.89506       0.243171        2.08418              1
           0.74           0.56        3.89262       0.240994         2.0779              1
           0.74           0.58        3.89108        0.23907        2.07251              1
           0.74            0.6        3.89422       0.240295        2.07762              1
           0.74           0.62        3.88714        0.23669         2.0663              1
           0.74           0.64        3.88788       0.236109        2.06277              1
           0.74           0.66        3.88496       0.234195        2.05481              1
           0.74           0.68        3.88369       0.232173        2.05368              1
           0.76            0.2        3.95752        0.32057        2.22975              1
           0.76           0.22        3.94595       0.302421        2.20816              1
           0.76           0.24        3.93819       0.287213        2.19571              1
           0.76           0.26         3.9279       0.279056        2.17698              1
           0.76           0.28        3.92084       0.266661         2.1664              1
           0.76            0.3        3.91569       0.254977        2.15567              1
           0.76           0.32        3.90441        0.24479        2.14039              1
           0.76           0.34        3.90758       0.241877        2.13541              1
           0.76           0.36         3.8996       0.234975        2.12168              1
           0.76           0.38        3.88927       0.223405        2.11002              1
           0.76            0.4        3.88828       0.221096        2.10761              1
           0.76           0.42        3.88411       0.215028        2.09903              1
           0.76           0.44        3.87773       0.211353         2.0865              1
           0.76           0.46        3.87791        0.21013        2.07568              1
           0.76           0.48        3.88105       0.210928        2.07387              1
           0.76            0.5        3.87198       0.203112        2.06337              1
           0.76           0.52        3.86581        0.19911        2.05395              1
           0.76           0.54        3.86947        0.19646        2.05822              1
           0.76           0.56        3.86996        0.19929         2.0569              1
           0.76           0.58         3.8636       0.191412        2.04194              1
           0.76            0.6        3.85898       0.189224        2.03657              1
           0.76           0.62        3.86332       0.190523        2.04523              1
           0.76           0.64        3.86225       0.187454        2.03887              1
           0.76           0.66        3.86172       0.189915        2.03137              1
           0.76           0.68        3.85889       0.188138        2.02743              1
           0.78            0.2        3.92398       0.262494        2.19437              1
           0.78           0.22        3.91961       0.251905        2.18755              1
           0.78           0.24        3.90724       0.235055        2.17043              1
           0.78           0.26        3.89608       0.227101         2.1455              1
           0.78           0.28        3.88259       0.209544        2.12587              1
           0.78            0.3        3.88219       0.203233        2.12246              1
           0.78           0.32        3.87447       0.195776        2.10673              1
           0.78           0.34        3.87457       0.194531        2.09737              1
           0.78           0.36          3.873       0.187924        2.09405              1
           0.78           0.38        3.86532        0.17891        2.08552              1
           0.78            0.4        3.86093       0.175271        2.07604              1
           0.78           0.42        3.85749       0.174941        2.06581              1
           0.78           0.44        3.85494        0.16873        2.05556              1
           0.78           0.46        3.85423       0.166576         2.0574              1
           0.78           0.48          3.851       0.162696        2.05079              1
           0.78            0.5        3.85255       0.161833        2.05334              1
           0.78           0.52        3.84689       0.158973        2.03616              1
           0.78           0.54        3.83973       0.155492        2.02819              1
           0.78           0.56        3.84511        0.15783        2.02304              1
           0.78           0.58        3.84095       0.154875        2.01032              1
           0.78            0.6        3.84047       0.152738        2.01311              1
           0.78           0.62         3.8425       0.152513        2.01218              1
           0.78           0.64        3.83654       0.151011        2.00333              1
           0.78           0.66        3.83699       0.150392        2.00758              1
           0.78           0.68        3.83633       0.147289        1.99827              1
            0.8            0.2        3.89327       0.217682        2.16847              1
            0.8           0.22        3.88429       0.204186        2.15159              1
            0.8           0.24        3.87662       0.190162        2.13543              1
            0.8           0.26         3.8716       0.182389        2.12599              1
            0.8           0.28        3.86468        0.17162        2.10894              1
            0.8            0.3        3.86088       0.167995        2.10385              1
            0.8           0.32        3.85373       0.158152        2.08177              1
            0.8           0.34        3.84749       0.154035          2.072              1
            0.8           0.36        3.85052       0.151017        2.07229              1
            0.8           0.38        3.84455       0.144441        2.05813              1
            0.8            0.4        3.83647       0.136727        2.04898              1
            0.8           0.42        3.83609       0.137543        2.03994              1
            0.8           0.44        3.83427       0.131233        2.03508              1
            0.8           0.46        3.83016       0.128514         2.0326              1
            0.8           0.48        3.82556       0.126188        2.01821              1
            0.8            0.5         3.8308       0.126407          2.022              1
            0.8           0.52        3.82455       0.121923        2.00841              1
            0.8           0.54        3.82493       0.123327        2.00537              1
            0.8           0.56        3.82302       0.121307        2.00241              1
            0.8           0.58        3.82039       0.118998        1.99087              1
            0.8            0.6        3.81947       0.118968        1.99659              1
            0.8           0.62        3.81871       0.118158        1.98263              1
            0.8           0.64        3.81304       0.114415         1.9797              1
            0.8           0.66        3.81571       0.117004        1.97972              1
            0.8           0.68        3.81522       0.115759        1.96704              1
           0.82            0.2        3.87365       0.178516         2.1463              1
           0.82           0.22        3.85926       0.159369        2.12048              1
           0.82           0.24        3.85621       0.153429        2.11312              1
           0.82           0.26         3.8458       0.142607        2.09299              1
           0.82           0.28        3.84359       0.137202        2.08846              1
           0.82            0.3        3.83737       0.128485        2.07227              1
           0.82           0.32        3.82831       0.122278        2.06019              1
           0.82           0.34        3.83059       0.117837        2.05018              1
           0.82           0.36        3.82734       0.114592        2.04435              1
           0.82           0.38        3.82017       0.106902        2.03463              1
           0.82            0.4        3.82172       0.108627        2.02286              1
           0.82           0.42        3.81331       0.102613        2.01071              1
           0.82           0.44        3.81354       0.101896        2.01216              1
           0.82           0.46        3.81195      0.0999248        2.01067              1
           0.82           0.48        3.81305      0.0992691         2.0002              1
           0.82            0.5         3.8082      0.0970803        1.98675              1
           0.82           0.52        3.80573      0.0949767        1.98795              1
           0.82           0.54        3.80325      0.0917541        1.98074              1
           0.82           0.56        3.80627      0.0935024        1.98922              1
           0.82           0.58        3.80482      0.0939123        1.97795              1
           0.82            0.6        3.80232      0.0917473        1.96567              1
           0.82           0.62         3.8007      0.0919455        1.96824              1
           0.82           0.64        3.79766      0.0887917        1.95075              1
           0.82           0.66        3.79878       0.090929        1.95339              1
           0.82           0.68        3.79598      0.0899423        1.94808              1
           0.84            0.2         3.8441       0.135754         2.1122              1
           0.84           0.22        3.83624       0.125767        2.09956              1
           0.84           0.24        3.82767        0.11671        2.07928              1
           0.84           0.26        3.82538       0.108798        2.07576              1
           0.84           0.28        3.81897       0.102763        2.05343              1
           0.84            0.3        3.81267      0.0956106        2.04034              1
           0.84           0.32        3.81262      0.0921972        2.03708              1
           0.84           0.34        3.80897      0.0875623        2.02252              1
           0.84           0.36        3.80755      0.0858577        2.01775              1
           0.84           0.38        3.80231      0.0821993        2.00259              1
           0.84            0.4        3.80165      0.0804598         1.9996              1
           0.84           0.42        3.79721      0.0762203        1.99469              1
           0.84           0.44        3.79445      0.0744868        1.98344              1
           0.84           0.46        3.79225      0.0726344        1.97632              1
           0.84           0.48        3.79082      0.0711817        1.96541              1
           0.84            0.5        3.79185      0.0715302        1.96994              1
           0.84           0.52        3.79112      0.0708564        1.96572              1
           0.84           0.54        3.78814      0.0699419        1.96218              1
           0.84           0.56        3.78545      0.0679046        1.94718              1
           0.84           0.58        3.78458      0.0683258        1.94686              1
           0.84            0.6        3.78499      0.0671974        1.93991              1
           0.84           0.62        3.78645      0.0686424        1.93984              1
           0.84           0.64        3.78264      0.0665951         1.9358              1
           0.84           0.66        3.78362      0.0680499        1.93813              1
           0.84           0.68        3.78087      0.0677114        1.92261              1
           0.86            0.2        3.82653       0.106733        2.09396              1
           0.86           0.22        3.82006      0.0965546        2.07993              1
           0.86           0.24        3.81056       0.087872        2.05401              1
           0.86           0.26        3.80664      0.0818065        2.04468              1
           0.86           0.28        3.80343      0.0765433        2.03518              1
           0.86            0.3        3.79651      0.0707319        2.01986              1
           0.86           0.32        3.79387      0.0655064        2.01139              1
           0.86           0.34        3.79262      0.0640051        2.01035              1
           0.86           0.36        3.79003      0.0621163        1.99294              1
           0.86           0.38        3.78615      0.0575107        1.98266              1
           0.86            0.4        3.78118      0.0545256        1.97226              1
           0.86           0.42         3.7816      0.0548204        1.96148              1
           0.86           0.44        3.77749      0.0524008        1.95535              1
           0.86           0.46        3.77867      0.0523454        1.95854              1
           0.86           0.48        3.77861         0.0508        1.95458              1
           0.86            0.5        3.77785      0.0516397        1.95151              1
           0.86           0.52        3.77684      0.0510268        1.94693              1
           0.86           0.54        3.77363      0.0501221        1.93323              1
           0.86           0.56        3.76963      0.0485328        1.92651              1
           0.86           0.58        3.77234      0.0505793        1.92956              1
           0.86            0.6        3.77196      0.0497657        1.91571              1
           0.86           0.62        3.77208      0.0505487        1.91804              1
           0.86           0.64        3.77203      0.0509496        1.91449              1
           0.86           0.66        3.77043      0.0513301        1.90364              1
           0.86           0.68        3.76885      0.0507868        1.90709              1
           0.88            0.2        3.80477      0.0795637        2.06125              1
           0.88           0.22        3.79673      0.0699996        2.04044              1
           0.88           0.24        3.79387      0.0634109        2.03343              1
           0.88           0.26        3.78993      0.0586653        2.02063              1
           0.88           0.28        3.78631      0.0539288        2.00894              1
           0.88            0.3        3.78166      0.0497334        1.99704              1
           0.88           0.32        3.77674      0.0461549        1.98367              1
           0.88           0.34        3.77754      0.0448222        1.97996              1
           0.88           0.36        3.77462      0.0414243        1.97527              1
           0.88           0.38        3.77331      0.0399851        1.96176              1
           0.88            0.4        3.76903       0.037594        1.95047              1
           0.88           0.42        3.76903      0.0369645        1.94636              1
           0.88           0.44        3.76742      0.0362446         1.9411              1
           0.88           0.46        3.76749      0.0361936        1.93153              1
           0.88           0.48        3.76472      0.0346325        1.92951              1
           0.88            0.5        3.76391      0.0351872        1.92284              1
           0.88           0.52        3.76325      0.0351863        1.91626              1
           0.88           0.54        3.76153      0.0345731        1.90885              1
           0.88           0.56        3.76159      0.0350479        1.90514              1
           0.88           0.58        3.75806      0.0351309        1.90155              1
           0.88            0.6        3.76093      0.0356912        1.90462              1
           0.88           0.62        3.76028      0.0364958        1.88924              1
           0.88           0.64        3.76005      0.0369562        1.88806              1
           0.88           0.66        3.75888      0.0369281         1.8877              1
           0.88           0.68        3.75888      0.0382692        1.88739              1
            0.9            0.2         3.7914       0.057496         2.0428              1
            0.9           0.22        3.78472      0.0504223        2.02433              1
            0.9           0.24        3.77928      0.0450402        2.00343              1
            0.9           0.26        3.77592      0.0401762        2.00087              1
            0.9           0.28        3.77101      0.0355567        1.98414              1
            0.9            0.3        3.76905      0.0330149        1.97622              1
            0.9           0.32        3.76438       0.029583        1.95839              1
            0.9           0.34        3.76614      0.0284533        1.96108              1
            0.9           0.36         3.7623      0.0264896        1.95047              1
            0.9           0.38        3.76086      0.0257862        1.93901              1
            0.9            0.4         3.7577      0.0239513        1.92684              1
            0.9           0.42        3.75816      0.0237499        1.92307              1
            0.9           0.44        3.75498      0.0230549        1.91795              1
            0.9           0.46        3.75551      0.0233101        1.91535              1
            0.9           0.48        3.75273      0.0228433        1.90372              1
            0.9            0.5        3.75333      0.0236166        1.90027              1
            0.9           0.52        3.75191      0.0231458        1.90076              1
            0.9           0.54        3.75297      0.0244366        1.89823              1
            0.9           0.56        3.75066      0.0245967        1.88372              1
            0.9           0.58        3.74947      0.0247471        1.87854              1
